創世記 1 1| 源起頭上帝創造天kap地。
創世記 3 21| 耶和華上帝為tio̍h hit人kap伊ê bó͘用皮做衣服，hō͘ in穿。
創世記 3 22| 耶和華上帝講，看ah，chit人已經kap咱相親像，能分別好pháiⁿ；taⁿ驚了伊伸手koh tùi活命樹挽，來食，就活到永遠；
創世記 3 23| 所以耶和華上帝kah伊出伊甸園，來種作hit-ê土，就是伊所tùi伊出ê。
創世記 3 24| 所以趕hit-ê人出；也tī伊甸園ê東勢安置Ki-lō͘兵kap四面轉旋發火燄ê劍，來防守活命樹ê路。
創世記 4 1| Hit人kap伊ê bó͘夏娃同房；夏娃就懷孕生該隱，講，我tùi耶和華庇佑得tio̍h kiáⁿ。
創世記 4 2| Koh生伊ê小弟亞伯。亞伯是顧羊ê，該隱是作田ê。
創世記 4 3| 到日後，該隱將土產做禮物獻hō͘耶和華。
創世記 4 4| 亞伯也將羊群中頭chiūⁿ生ê羊kap伊ê油the̍h來獻。耶和華眷顧亞伯kap伊ê禮物；
創世記 4 5| 總是無眷顧該隱kap伊ê禮物。該隱就大受氣，變面。
創世記 4 6| 耶和華對該隱講，你啥事受氣？你啥事變面？
創世記 4 7| 你若行好，kiám無得tio̍h監納？若無行好，罪孽埋伏tī門口；伊beh戀慕你，你beh管轄伊。
創世記 4 8| 該隱kā伊ê小弟講。以後in tī山裡ê時，該隱攻擊伊ê小弟亞伯，kā伊thâi死。
創世記 4 9| 耶和華對該隱講，你ê小弟亞伯tī tah-lo̍h？伊講，m̄知；我kiám是顧守我ê小弟ê mah？
創世記 4 10| 伊講，你有做甚麼？Lín小弟ê血ê聲tùi地裡喉叫我。
創世記 4 11| 地有開嘴對你ê手來接受lín小弟ê血，taⁿ你tùi chit-ê地受咒詛。
創世記 4 12| 你種作，地無beh出土產hō͘你；你beh四界走，漂流地上。
創世記 4 13| 該隱對耶和華講，我ê刑罰太重，過頭tī我所能當ê。
創世記 4 14| 你今á日趕我離開chit-ê地面，無thang tòa tī你ê面前；我四界走漂流地上；見若tú-tio̍h我ê beh thâi死我。
創世記 4 15| 耶和華對伊講，因為án-ni，見若thâi死該隱ê，beh受七倍ê報應。耶和華就kā該隱立一個記號，免得tú-tio̍h伊ê thâi死伊。
創世記 4 16| 該隱就離開耶和華ê面前，去tī伊甸ê東勢，羅得ê地，khiā起。
創世記 4 17| 該隱kap伊ê bó͘同房；伊ê bó͘懷孕生以諾；該隱起城，就照伊ê kiáⁿ ê名稱hit-ê城ê名做以諾。
創世記 4 18| 以諾生Í-ná；Í-ná生Bí-hō͘-ngá-lī；Bí-hō͘-ngá-lī生Má-thó͘-sat-lī；Má-thó͘-sat-lī生La̍h-be̍k。
創世記 4 19| La̍h-be̍k chhōa兩個bó͘；一個名A-tāi，一個名Sé-la̍h。
創世記 4 20| A-tāi生Ngá-pat；伊做khiā起布棚飼cheng-siⁿ ê人ê祖。
創世記 4 21| 伊ê小弟名Iû-pat；伊是做一切彈琴pûn簫ê人ê祖。
創世記 4 22| Sé-la̍h也生Thó͘-pat-kai-ún；伊就是製造ta̍k樣銅鐵利器ê；Thó͘-pat-kai-ún ê姊妹就是Ná-má。
創世記 4 23| La̍h-be̍k對伊兩個bó͘講：	A-tāi kap Sé-la̍h ah，tio̍h聽我ê聲，	La̍h-be̍k ê bó͘ ah，tio̍h致意聽我ê話；	人傷我，我thâi伊，	少年人害我，我thâi伊。
創世記 4 24| 該隱ê伸冤若是七倍，	就La̍h-be̍k ê伸冤的確七十七倍。
創世記 4 25| 亞當koh kap伊ê bó͘同房；伊ê bó͘生kiáⁿ，表名叫Siat；是講，上帝koh kā我設立一個kiáⁿ來替亞伯，因為該隱kā伊thâi死。
創世記 4 26| Siat也生kiáⁿ，表名Í-lô-sū；hit時人chiah起頭求叫耶和華ê名。
創世記 5 1| 亞當ê世系記tī下底，當上帝創造人ê日，是照上帝ê款式來造伊；
創世記 5 2| 創造in ta-po͘ kap cha-bó͘；tī in受創造ê日，賜in福氣，稱in ê名叫人。
創世記 5 3| 亞當一百三十歲生kiáⁿ照伊ê款，親像伊ê像，表名叫Siat。
創世記 5 4| 亞當生Siat了後koh歷過八百年；其中iáu有生kiáⁿ cha-bó͘-kiáⁿ。
創世記 5 5| 亞當計共享壽九百三十歲，chiah死。
創世記 5 6| Siat一百連五歲，生Í-lô-sū。
創世記 5 7| Siat生Í-lô-sū ê了後iáu活八百連七年；其中有koh生kiáⁿ cha-bó͘-kiáⁿ。
創世記 5 8| Siat計共享壽九百一十二歲，chiah死。
創世記 5 9| Í-lô-sū九十歲，生Kai-lâm。
創世記 5 10| Í-lô-sū生Kai-lâm ê了後iáu活八百一十五年；其中有koh生kiáⁿ cha-bó͘-kiáⁿ。
創世記 5 11| Í-lô-sū計共享壽九百連五歲，chiah死。
創世記 5 12| Kai-lâm七十歲，生Má-le̍k-lia̍t。
創世記 5 13| Kai-lâm生Má-le̍k-lia̍t ê了後iáu活八百四十年；其中有koh生kiáⁿ cha-bó͘-kiáⁿ。
創世記 5 14| Kai-lâm計共享壽九百一十歲，chiah死。
創世記 5 15| Má-le̍k-lia̍t六十五歲，生Ngá-lia̍t。
創世記 5 16| Má-le̍k-lia̍t生Ngá-lia̍t ê了後iáu活八百三十年；其中有koh生kiáⁿ cha-bó͘-kiáⁿ。
創世記 5 17| Má-le̍k-lia̍t計共享壽八百九十五歲，chiah死。
創世記 5 18| Ngá-lia̍t一百六十二歲，生以諾。
創世記 5 19| Ngá-lia̍t生以諾ê了後iáu活八百年；其中有koh生kiáⁿ cha-bó͘-kiáⁿ。
創世記 5 20| Ngá-lia̍t計共享壽九百六十二歲，chiah死。
創世記 5 21| 以諾六十五歲，生Má-thó͘-sat-la̍h。
創世記 5 22| 以諾生Má-thó͘-sat-la̍h ê了後kap上帝相kap行三百年；其中有koh生kiáⁿ cha-bó͘-kiáⁿ。
創世記 5 23| 以諾計共享壽三百六十五歲。
創世記 5 24| 以諾kap上帝相kap行，上帝接伊去；伊就無tī-teh。
創世記 5 25| Má-thó͘-sat-la̍h一百八十七歲，生La̍h-be̍k。
創世記 5 26| Má-thó͘-sat-la̍h生La̍h-be̍k ê了後iáu活七百八十二年；其中有koh生kiáⁿ cha-bó͘-kiáⁿ。
創世記 5 27| Má-thó͘-sat-la̍h計共享壽九百六十九歲，chiah死。
創世記 5 28| La̍h-be̍k一百八十二歲，生一個kiáⁿ，
創世記 5 29| 表名叫挪亞，講，耶和華bat咒詛地，hō͘咱做工勞苦；taⁿ chit-ê kiáⁿ beh安慰咱。
創世記 5 30| La̍h-be̍k生挪亞ê了後iáu活五百九十五年；其中有koh生kiáⁿ cha-bó͘-kiáⁿ。
創世記 5 31| La̍h-be̍k計共享壽七百七十七歲，chiah死。
創世記 5 32| 挪亞五百歲；生閃，含，雅弗。
創世記 6 1| 人tī地上ná khah-chōe，也生cha-bó͘-kiáⁿ ê時，
創世記 6 2| 上帝ê kiáⁿ看見人ê cha-bó͘-kiáⁿ súi，就照in所ài，娶in做bó͘。
創世記 6 3| 耶和華講，人既然屬tī肉體，我ê神無beh永遠tiàm-tī in；但是in ê日子beh到一百二十年。
創世記 6 4| Tī hit時有大漢人tī地面上；後來上帝ê kiáⁿ kap人ê cha-bó͘-kiáⁿ同房，in就生kiáⁿ，就是tùi古早英雄有名聲ê人。
創世記 6 5| 耶和華看見人tī地上，罪惡真大，心內所想ê念頭ta̍k日lóng是pháiⁿ。
創世記 6 6| 耶和華退悔伊造人tī世間；心內憂悶。
創世記 6 7| 耶和華講，我beh tùi地上剿滅我所創造ê人；將人kap走獸、蟲thōa、飛鳥，lóng剿滅；因為我造in了有退悔。
創世記 6 8| 只有挪亞得tio̍h恩典tī耶和華ê面前。
創世記 6 9| 挪亞ê世系記tī下底，挪亞是義人；tī hit世代ê中間是完全ê人；挪亞kap上帝相kap行。
創世記 6 10| 挪亞生三個kiáⁿ，就是閃、含、雅弗。
創世記 6 11| 世界敗壞tī上帝ê面前；世界充滿強暴。
創世記 6 12| 上帝看世界lóng敗壞；因為見有肉體ê in tī世界ê行做lóng是敗壞。
創世記 6 13| 上帝tùi挪亞講，見有肉體ê我看in ê末期已經到，因為in ê強暴充滿tī世界；你看，我beh將in kap地做一下毀滅。
創世記 6 14| 你tio̍h用松柏柴做大船，船內tio̍h隔房間，內外用瀝青油kô͘伊。
創世記 6 15| 大船ê造法是án-ni：長三百肘，闊五十肘，高三十肘。
創世記 6 16| 船tio̍h做窗á，高一肘；門tio̍h hē tī船邊；船tio̍h做三層，分上、中、下。
創世記 6 17| 你看，我，我beh hō͘大水氾濫tī地上，來毀滅天下見若有活氣ê肉體；見若tī地上ê lóng會死。
創世記 6 18| 總是我beh kap你立我ê約。你kap你ê kiáⁿ，你ê bó͘，你ê新婦，lóng tio̍h入大船。
創世記 6 19| 見若有活氣ê肉體，ta̍k樣一對，一隻公ê，一隻母ê，你tio̍h帶in入大船，kap你相kap保全活命。
創世記 6 20| 飛鳥各照伊ê類，cheng-siⁿ各照伊ê類，地上ê蟲thōa各照伊ê類，ta̍k樣一對beh到你hia來保全in ê活命。
創世記 6 21| 你tio̍h the̍h ta̍k樣ê食物積聚teh，thang做你kap in ê食物。
創世記 6 22| 挪亞就án-ni行；照上帝lóng總所命令ê去行。
創世記 7 1| 耶和華對挪亞講，你kap你全家lóng tio̍h入大船；因為tī chit世代ê中間我看見你tī我ê面前是義人。
創世記 7 2| 見若清氣ê cheng-siⁿ，你tio̍h帶七隻公ê，七隻母ê；無清氣ê cheng-siⁿ，你tio̍h帶一隻公ê，一隻母ê。
創世記 7 3| 天裡ê鳥也tio̍h帶，七隻公ê，七隻母ê，thang留in ê種活tī全地。
創世記 7 4| 因為koh過七日，我beh落雨tī地上，四十日四十暝；將我所造ta̍k號ê活物lóng tùi地上剿滅。
創世記 7 5| 挪亞就照耶和華所命令伊ê，一盡去行。
創世記 7 6| 當大水氾濫tī地上ê時，挪亞六百歲。
創世記 7 7| 挪亞就kap伊ê kiáⁿ，伊ê bó͘，伊ê新婦，lóng入大船，閃避大水。
創世記 7 8| 清氣ê cheng-siⁿ，kap無清氣ê cheng-siⁿ，飛鳥，kap地上一切ê蟲thōa，
創世記 7 9| lóng一對一對，有公ê有母ê，到挪亞hia，進入大船，照上帝命令挪亞ê。
創世記 7 10| 過hiah-ê七日大水氾濫tī地上。
創世記 7 11| 當挪亞六百歲，二月十七日，hit日深淵ê水源lóng裂開，天也破隙。
創世記 7 12| 四十日四十暝落雨tī地面上。
創世記 7 13| Tú-tú hit日，挪亞kap伊ê kiáⁿ，閃、含、雅弗，kap挪亞ê bó͘，kap伊三個新婦，lóng入大船；
創世記 7 14| in kap百獸各照伊ê類，一切ê cheng-siⁿ各照伊ê類，一切sô tī地上ê蟲thōa各照伊ê類，一切有翼ê各照伊ê類，一切ê飛鳥各照伊ê類，lóng總進入大船。
創世記 7 15| 見若肉體內面有活氣ê，lóng一對一對，到挪亞hia，入大船。
創世記 7 16| 見若入大船ê，是有公有母ê肉體，照上帝所命令伊ê；耶和華就kā伊關teh。
創世記 7 17| 水氾濫tī地上四十日；水漲ná高，hō͘大船chhèng浮，船就離地。
創世記 7 18| 水勢真大，tī地上直直漲起來；船漂流tī水面。
創世記 7 19| 水勢tī地上極其大；天下ê高山lóng hō͘伊淹密。
創世記 7 20| 水勢比山加漲高十五肘；山lóng hō͘伊淹密。
創世記 7 21| 見若tī地上有肉體ê動物，就是飛鳥、cheng-siⁿ、走獸，kap一切sô tī地上ê蟲thōa，以及所有ê眾人，lóng死。
創世記 7 22| 見若tī乾地有鼻孔喘氣ê生靈lóng死。
創世記 7 23| 見若地上一切ê活物lóng剿滅；人kap cheng-siⁿ、蟲thōa，以及天中ê飛鳥，in lóng tùi地上受剿滅；只有挪亞chham hiah-ê kap伊tī船裡ê留teh。
創世記 7 24| 水勢真大tī地上，歷過一百五十日。
創世記 8 1| 上帝記得挪亞，kap一切ê活物，以及kap伊tī大船一切ê cheng-siⁿ；上帝hō͘風吹地，水就漸漸消蝕。
創世記 8 2| 深淵ê水源，kap天ê空隙，lóng關密；天裡ê雨亦soah。
創世記 8 3| 水tùi地上直直退；一百五十日後，水就漸漸消。
創世記 8 4| 七月十七日，船掛(khòa)tī A-la̍h-lia̍p ê山。
創世記 8 5| 水koh漸漸消，直直到十月。十月初一日，山頭chiah出現。
創世記 8 6| 過四十日，挪亞開伊所做大船ê窗á；
創世記 8 7| 放一隻烏鴉出去；烏鴉飛來飛去，直直到地上ê水乾。
創世記 8 8| 伊koh放一隻鴿á出去，beh看水tùi地上退á-bē。
創世記 8 9| 總是鴿á chhē無歇腳ê所在，就倒tńg來大船挪亞hia；因為遍地面iáu有水；挪亞伸手接(chih)伊，掠入大船。
創世記 8 10| 伊koh thèng候七日，koh放鴿á出大船。
創世記 8 11| 到ê-hng鴿á tò來伊hia，嘴咬一葉新ê橄欖葉；挪亞chiah知水tùi地上退lah。
創世記 8 12| 伊koh thèng候七日，放鴿á出去；鴿á lóng無koh tò來。
創世記 8 13| 到挪亞六百連一歲，正月初一日，地上ê水lóng乾；挪亞就掀開大船ê蓋，來看；就看見地面已經乾。
創世記 8 14| 二月二七日，土地lóng乾。
創世記 8 15| 上帝對挪亞講，
創世記 8 16| 你kap你ê bó͘，你ê kiáⁿ，你ê新婦，lóng tio̍h出大船。
創世記 8 17| Tī你hia見有肉體ê活物，就是飛鳥、cheng-siⁿ，kap一切sô tī地上ê蟲thōa，lóng tio̍h帶in出；hō͘ in興旺tī地裡，生湠真chōe。
創世記 8 18| Tùi hit-tia̍p挪亞kap伊ê kiáⁿ，伊ê bó͘，伊ê新婦，lóng出來。
創世記 8 19| 一切ê走獸，一切ê蟲thōa，一切ê飛鳥，見若地上所有ê動物，各照伊ê族類，亦lóng出大船。
創世記 8 20| 挪亞為tio̍h耶和華起一座壇；tùi ta̍k樣清氣ê cheng-siⁿ，ta̍k樣清氣ê飛鳥，取來獻tī壇頂做燒祭。
創世記 8 21| 耶和華phīⁿ伊ê芳味；耶和華心內就講，我無koh因為人ê緣故咒詛地，因為人tùi細漢ê時，心所想就pháiⁿ；我無beh照我所有行ê，koh滅各種ê活物。
創世記 8 22| 地iáu tī-teh ê時，栽種收成，寒熱、冬天、夏天、日暝，lóng無歇。
創世記 9 1| 上帝賜福挪亞，kap伊ê kiáⁿ，亦對in講，Lín tio̍h生湠chōe-chōe，充滿地上。
創世記 9 2| 見若地上ê走獸，kap天裡ê鳥，lóng beh驚lín畏lín；連地上一切ê蟲thōa，kap海裡一切ê魚，lóng交付lín ê手。
創世記 9 3| 見若活ê動物lóng做lín ê食物；chiah-ê一切我lóng hō͘ lín，親像hō͘ lín菜蔬一樣。
創世記 9 4| 獨獨有活命ê肉，就是有kâⁿ血ê，lín m̄-thang食。
創世記 9 5| 流lín ê血，就是流lín活命ê血ê罪，我beh討伊；我beh對各樣走獸討，亦beh對人ê手，以及ta̍k人兄弟ê手，來討人ê活命。
創世記 9 6| 見若hō͘人流血ê，人也beh hō͘伊流血；因為上帝造人，是親像伊家己ê像。
創世記 9 7| Lín tio̍h生湠chōe-chōe，tī地面上tio̍h興旺，加添真chōe。
創世記 9 8| 上帝kā挪亞kap伊ê kiáⁿ講，
創世記 9 9| 我，我kap lín以及lín ê後裔立我ê約；
創世記 9 10| 亦kap hiah-ê kap lín tī-teh一切ê活物，就是kap lín tī-teh ê飛鳥、cheng-siⁿ，一切走獸；見若tùi大船出來地上一切ê走獸立約。
創世記 9 11| 我kap lín立我ê約；見有肉體ê，無koh hō͘大水滅無，亦無koh有大水毀壞土地。
創世記 9 12| 上帝講，我kap lín亦kap hiah-ê kap lín tī-teh ta̍k樣ê活物所立永世代ê約，是有記號。
創世記 9 13| 我將我ê虹hē tī雲裡，thang做我kap地立約ê記號。
創世記 9 14| 以後我hō͘雲起遮地ê時，beh有虹出現tī雲裡。
創世記 9 15| 我就記念我kap lín以及ta̍k樣有肉體ê活物所立ê約，水無koh氾濫損壞一切有肉體ê物。
創世記 9 16| 虹beh出現tī雲裡，我beh看伊，hō͘我記念上帝kap地上ta̍k樣有肉體ê活物所立永遠ê約。
創世記 9 17| 上帝對挪亞講，這就是我kap地上一切有肉體ê物所立ê約ê記號。
創世記 9 18| 挪亞ê kiáⁿ，出大船ê，就是閃，含，雅弗；含是迦南ê老父。
創世記 9 19| Chí三個是挪亞ê kiáⁿ；tùi in遍滿全地。
創世記 9 20| 挪亞起手做農夫，栽種葡萄園；
創世記 9 21| lim hit-ê酒來醉，tī布棚內thǹg-theh-theh。
創世記 9 22| 迦南ê老父，含，看in老父thǹg-theh，去外面kā in兩個兄弟講。
創世記 9 23| 閃kap雅弗the̍h一領衫，掛tī in ê肩頭；倒退行來jia老父ê thǹg-theh；in ê面ǹg出，無看去老父ê thǹg-theh。
創世記 9 24| 挪亞酒醉醒，chiah知第二kiáⁿ ê所做。
創世記 9 25| 就講，	迦南tio̍h受咒詛；	伊beh做伊ê兄弟奴僕ê奴僕。Koh講，
創世記 9 26| Tio̍h o-ló耶和華，閃ê上帝；	迦南做閃ê奴僕。
創世記 9 27| 願上帝hō͘雅弗發展，	Hō͘伊tòa tī閃ê布棚；	迦南亦做伊ê奴僕。
創世記 9 28| 大水了後挪亞iáu活三百五十年。
創世記 9 29| 挪亞計共享壽九百五十歲，chiah死。
創世記 10 1| 挪亞ê kiáⁿ閃、含、雅弗ê世系記tī下底：大水以後，in有生kiáⁿ。
創世記 10 2| 雅弗ê kiáⁿ；Khó-bia̍t、Má-kok、Má-tāi、Ngá-oân、Thó͘-pat、Bí-siat、Thé-la̍h。
創世記 10 3| Khó-bia̍t ê kiáⁿ：A-si̍t-ki-ná、Lī-hoat、Tô-ka-má。
創世記 10 4| Ngá-oân ê kiáⁿ：Í-lī-sa、Tāi-sit、Ki-tí人、To-tan人。
創世記 10 5| Chiah-ê人ê後裔，將ta̍k國ê地土、海嶼，分開khiā起，各照伊ê腔口，照in ê宗族，照in ê邦國。
創世記 10 6| 含ê kiáⁿ：Kó͘-si̍t，Be̍k-se-im，Hut、Ka-lâm。
創世記 10 7| Kó͘-si̍t ê kiáⁿ：Se-pa、Hap-hui-la̍h、Sat-hut-tha、La̍h-má、Sat-hut-thê-ka。La̍h-má ê kiáⁿ：Sī-pa、Tí-tàn。
創世記 10 8| Kó͘-si̍t亦生Lêng-lio̍k，伊做世上英雄ê起頭。
創世記 10 9| 伊tī耶和華ê面前是一個英雄phah獵ê；所以人講，親像Lêng-lio̍k tī耶和華ê面前，是一個英雄phah獵ê。
創世記 10 10| 伊ê國ê起頭，就是Pa-pia̍t、Í-le̍k、A-kah、Kah-nî，tī Sī-ná ê地。
創世記 10 11| 伊tùi-hia出來，去亞述，起造尼尼微、Lí-hô-pek-i-ní、Ka-la̍h，
創世記 10 12| 以及尼尼微Ka-la̍h中間ê Lī-sián；這就是hit-ê大城。
創世記 10 13| Be̍k-se人生Lō͘-teng人、A-ná-bí人、Lī-hap人、Ná-hut-thó͘人；
創世記 10 14| Phàⁿ-su-ló͘人、Ka-su-ló͘人(tùi in出腓利士人) 、Ka-hui-thok人。
